Linear Selection, Bubble Sort Selection
0.001870870590209961,0.14106988906860352
0.0017163753509521484,0.14091014862060547
0.0014657974243164062,0.15909600257873535
0.0012841224670410156,0.1530759334564209
0.002164125442504883,0.14432311058044434
0.0016109943389892578,0.149094820022583
0.0019390583038330078,0.15256023406982422
0.001641988754272461,0.14001893997192383
0.0014851093292236328,0.15862798690795898
0.0015437602996826172,0.15195488929748535
0.004029750823974609,0.6066501140594482
0.005497932434082031,0.6117053031921387
0.0029518604278564453,0.5993309020996094
0.0031669139862060547,0.6618878841400146
0.003258943557739258,0.6258690357208252
0.0029649734497070312,0.6801972389221191
0.01066279411315918,0.8510382175445557
0.002892017364501953,0.7273731231689453
0.003118753433227539,0.6937341690063477
0.0032682418823242188,0.6636452674865723
0.004718780517578125,1.471571922302246
0.004973173141479492,1.449307918548584
0.0047528743743896484,1.6062400341033936
0.008826017379760742,1.4916410446166992
0.005418062210083008,1.5287492275238037
0.0059010982513427734,1.4294061660766602
0.005615949630737305,1.5958521366119385
0.005133152008056641,1.5535380840301514
0.0054509639739990234,1.5371980667114258
0.0054891109466552734,1.6982107162475586
0.01043701171875,2.7185473442077637
0.012166976928710938,3.100243091583252
0.007541179656982422,2.821146011352539
0.007214784622192383,2.903563976287842
0.006749153137207031,2.738003969192505
0.011788129806518555,3.030687093734741
0.006092071533203125,2.976091146469116
0.016705036163330078,2.798213005065918
0.0063250064849853516,2.555166006088257
0.007377147674560547,2.635369062423706
0.009278059005737305,4.63115119934082
0.01328587532043457,3.9050111770629883
0.010599851608276367,3.9416451454162598
0.00996088981628418,3.9591100215911865
0.008601188659667969,3.9177300930023193
0.009866952896118164,3.9330601692199707
0.008935213088989258,3.812142848968506
0.006875038146972656,3.8071131706237793
0.009994029998779297,3.845402240753174
0.011574983596801758,4.00605320930481
0.01009511947631836,5.672868728637695
0.012675046920776367,5.803609848022461
0.013049840927124023,5.793605804443359
0.01587986946105957,5.847789764404297
0.01194310188293457,5.667181968688965
0.012933015823364258,5.750750780105591
0.01004481315612793,5.754057884216309
0.011301994323730469,5.6580400466918945
0.011346817016601562,5.686197996139526
0.011653900146484375,5.690138101577759
0.024101734161376953,8.122053146362305
0.021260976791381836,7.97760796546936
0.010967016220092773,7.819250822067261
0.012558937072753906,7.7058470249176025
0.011507272720336914,7.651391983032227
0.01166987419128418,7.7367401123046875
0.014602184295654297,8.009375095367432
0.01137399673461914,7.62456202507019
0.023758888244628906,7.847631216049194
0.011294841766357422,7.613652944564819
0.027130842208862305,10.278345823287964
0.015540122985839844,10.768025159835815
0.012954235076904297,10.460355997085571
0.012454032897949219,10.076203107833862
0.014909982681274414,10.691149950027466
0.013123750686645508,10.318639278411865
0.01337289810180664,10.221976041793823
0.01157832145690918,9.9804527759552
0.012243032455444336,9.855172157287598
0.012969017028808594,10.123403072357178
0.015439271926879883,13.071638107299805
0.013561248779296875,13.431395769119263
0.023246049880981445,13.492247104644775
0.01802206039428711,12.621959924697876
0.019149065017700195,13.011746883392334
0.013699054718017578,12.798032999038696
0.014888286590576172,13.032849788665771
0.015334129333496094,12.925791025161743
0.014487981796264648,12.962114095687866
0.01639699935913086,13.25275182723999
0.02075791358947754,16.381287097930908
0.021573781967163086,16.26245617866516
0.018323898315429688,20.876466751098633
0.06833195686340332,16.60764193534851
0.017901897430419922,16.45809507369995
0.02210688591003418,15.999104022979736
0.020111083984375,15.980362176895142
0.01778721809387207,15.787848949432373
0.01825714111328125,15.986825942993164
0.018985986709594727,15.811419248580933
